"Age"	"Player"	"DATE"	"Event"	"Winner"
28.1205479452055	"Roger Federer"	2009-09-14	"US Open"	"Finalist"
22.7315068493151	"Andy Murray"	2010-01-31	"Australian Open"	"Finalist"
25.827397260274	"Robin Soderling"	2010-06-06	"French Open"	"Finalist"
24.8109589041096	"Tomas Berdych"	2010-07-04	"Wimbledon"	"Finalist"
23.3287671232877	"Novak Djokovic"	2010-09-13	"US Open"	"Finalist"
23.7287671232877	"Andy Murray"	2011-01-30	"Australian Open"	"Finalist"
29.8438356164384	"Roger Federer"	2011-06-05	"French Open"	"Finalist"
25.0986301369863	"Rafael Nadal"	2011-07-03	"Wimbledon"	"Finalist"
25.2931506849315	"Rafael Nadal"	2011-09-12	"US Open"	"Finalist"
25.6739726027397	"Rafael Nadal"	2012-01-29	"Australian Open"	"Finalist"
25.0739726027397	"Novak Djokovic"	2012-06-11	"French Open"	"Finalist"
25.1671232876712	"Andy Murray"	2012-07-08	"Wimbledon"	"Finalist"
25.3232876712329	"Novak Djokovic"	2012-09-10	"US Open"	"Finalist"
25.7232876712329	"Andy Murray"	2013-01-27	"Australian Open"	"Finalist"
31.2082191780822	"David Ferrer"	2013-06-09	"French Open"	"Finalist"
26.1452054794521	"Novak Djokovic"	2013-07-07	"Wimbledon"	"Finalist"
26.3205479452055	"Novak Djokovic"	2013-09-09	"US Open"	"Finalist"
27.6684931506849	"Rafael Nadal"	2014-01-26	"Australian Open"	"Finalist"
27.0657534246575	"Novak Djokovic"	2014-06-08	"French Open"	"Finalist"
32.9315068493151	"Roger Federer"	2014-07-06	"Wimbledon"	"Finalist"
24.7095890410959	"Kei Nishikori"	2014-09-08	"US Open"	"Finalist"
27.7369863013699	"Andy Murray"	2015-02-01	"Australian Open"	"Finalist"
28.0630136986301	"Novak Djokovic"	2015-06-07	"French Open"	"Finalist"
33.9479452054794	"Roger Federer"	2015-07-12	"Wimbledon"	"Finalist"
34.1205479452055	"Roger Federer"	2015-09-13	"US Open"	"Finalist"
28.7342465753425	"Andy Murray"	2016-01-31	"Australian Open"	"Finalist"
29.0794520547945	"Andy Murray"	2016-06-05	"French Open"	"Finalist"
25.5534246575342	"Milos Raonic"	2016-07-10	"Wimbledon"	"Finalist"
29.3287671232877	"Novak Djokovic"	2016-09-11	"US Open"	"Finalist"
30.6794520547945	"Rafael Nadal"	2017-01-29	"Australian Open"	"Finalist"
32.227397260274	"Stan Wawrinka"	2017-06-11	"French Open"	"Finalist"
28.8164383561644	"Marin Cilic"	2017-07-16	"Wimbledon"	"Finalist"
31.3369863013699	"Kevin Anderson"	2017-09-10	"US Open"	"Finalist"
29.3534246575342	"Marin Cilic"	2018-01-28	"Australian Open"	"Finalist"
24.7835616438356	"Dominic Thiem"	2018-06-10	"French Open"	"Finalist"
32.1808219178082	"Kevin Anderson"	2018-07-15	"Wimbledon"	"Finalist"
29.9808219178082	"Juan Martin Del Potro"	2018-09-09	"US Open"	"Finalist"
32.6739726027397	"Rafael Nadal"	2019-01-27	"Australian Open"	"Finalist"
25.7808219178082	"Dominic Thiem"	2019-06-09	"French Open"	"Finalist"
37.9561643835616	"Roger Federer"	2019-07-14	"Wimbledon"	"Finalist"
23.5890410958904	"Daniil Medvedev"	2019-09-08	"US Open"	"Finalist"
20.3945205479452	"Carlos Moya"	1997-01-13	"Australian Open"	"Finalist"
26.3753424657534	"Sergio Bruguera"	1997-05-26	"French Open"	"Finalist"
28.041095890411	"Cedric Pioline"	1997-06-23	"Wimbledon"	"Finalist"
23.9835616438356	"Greg Rusedski"	1997-08-25	"US Open"	"Finalist"
22.0821917808219	"Marcelo Rios"	1998-01-19	"Australian Open"	"Finalist"
24.1369863013699	"Alex Corretja"	1998-05-25	"French Open"	"Finalist"
26.7917808219178	"Goran Ivanisevic"	1998-06-22	"Wimbledon"	"Finalist"
24.8684931506849	"Thomas Enqvist"	1999-01-18	"Australian Open"	"Finalist"
21.827397260274	"Mark Philippoussis"	1998-08-31	"US Open"	"Finalist"
29.1643835616438	"Andre Agassi"	1999-06-21	"Wimbledon"	"Finalist"
24.7452054794521	"Andrei Medvedev"	1999-05-24	"French Open"	"Finalist"
29.1643835616438	"Todd Martin"	1999-08-30	"US Open"	"Finalist"
25.9287671232877	"Yevgeny Kafelnikov"	2000-01-17	"Australian Open"	"Finalist"
24.013698630137	"Magnus Norman"	2000-05-29	"French Open"	"Finalist"
29.0657534246575	"Pete Sampras"	2000-08-28	"US Open"	"Finalist"
27.5123287671233	"Patrick Rafter"	2000-06-26	"Wimbledon"	"Finalist"
23.0958904109589	"Arnaud Clement"	2001-01-15	"Australian Open"	"Finalist"
27.1479452054795	"Alex Corretja"	2001-05-28	"French Open"	"Finalist"
28.5095890410959	"Patrick Rafter"	2001-06-25	"Wimbledon"	"Finalist"
30.0630136986301	"Pete Sampras"	2001-08-27	"US Open"	"Finalist"
21.9808219178082	"Marat Safin"	2002-01-14	"Australian Open"	"Finalist"
22.3013698630137	"Juan Carlos Ferrero"	2002-05-27	"French Open"	"Finalist"
20.4904109589041	"David Nalbandian"	2002-06-24	"Wimbledon"	"Finalist"
27.6246575342466	"Michael Stich"	1996-05-27	"French Open"	"Finalist"
27.0301369863014	"MaliVai Washington"	1996-06-24	"Wimbledon"	"Finalist"
23.9123287671233	"Michael Chang"	1996-01-15	"Australian Open"	"Finalist"
24.5260273972603	"Michael Chang"	1996-08-26	"US Open"	"Finalist"
23.4465753424658	"Pete Sampras"	1995-01-16	"Australian Open"	"Finalist"
23.2794520547945	"Michael Chang"	1995-05-29	"French Open"	"Finalist"
27.6109589041096	"Boris Becker"	1995-06-26	"Wimbledon"	"Finalist"
23.5452054794521	"Todd Martin"	1994-01-17	"Australian Open"	"Finalist"
25.3479452054795	"Andre Agassi"	1995-08-28	"US Open"	"Finalist"
20.9150684931507	"Alberto Berasategui"	1994-05-23	"French Open"	"Finalist"
22.7835616438356	"Goran Ivanisevic"	1994-06-20	"Wimbledon"	"Finalist"
25.8794520547945	"Michael Stich"	1994-08-29	"US Open"	"Finalist"
27.0164383561644	"Stefan Edberg"	1993-01-18	"Australian Open"	"Finalist"
22.7835616438356	"Jim Courier"	1993-05-24	"French Open"	"Finalist"
22.8602739726027	"Jim Courier"	1993-06-21	"Wimbledon"	"Finalist"
24.2246575342466	"Cedric Pioline"	1993-08-30	"US Open"	"Finalist"
26	"Stefan Edberg"	1992-01-13	"Australian Open"	"Finalist"
24.3534246575342	"Petr Korda"	1992-05-25	"French Open"	"Finalist"
20.7890410958904	"Goran Ivanisevic"	1992-06-22	"Wimbledon"	"Finalist"
21.0684931506849	"Pete Sampras"	1992-08-31	"US Open"	"Finalist"
30.8767123287671	"Ivan Lendl"	1991-01-14	"Australian Open"	"Finalist"
21.0904109589041	"Andre Agassi"	1991-05-27	"French Open"	"Finalist"
23.6027397260274	"Boris Becker"	1991-06-24	"Wimbledon"	"Finalist"
21.0383561643836	"Jim Courier"	1991-08-26	"US Open"	"Finalist"
24.0054794520548	"Stefan Edberg"	1990-01-15	"Australian Open"	"Finalist"
20.0931506849315	"Andre Agassi"	1990-05-28	"French Open"	"Finalist"
22.6054794520548	"Boris Becker"	1990-06-25	"Wimbledon"	"Finalist"
20.3424657534247	"Andre Agassi"	1990-08-27	"US Open"	"Finalist"
